Time_s,MSD_lattice_units2
8.367642306370439e-07,834.0
8.372469236430211e-07,822.0
8.389591215675353e-07,766.0
8.409054543031367e-07,814.0
8.443485017766113e-07,810.0
8.457316009504889e-07,866.0
8.461990974588669e-07,846.0
8.494200317250445e-07,770.0
8.501505249694093e-07,794.0
8.508663401594389e-07,814.0
8.521779691812848e-07,766.0
8.613556264477439e-07,844.0
8.626643701716506e-07,894.0
8.629502074784765e-07,902.0
8.638815501988131e-07,822.0
8.646222075255301e-07,882.0
8.668569210806785e-07,804.0
8.669673009091299e-07,730.0
8.670672488833044e-07,804.0
8.683489182663299e-07,854.0
8.70982452419957e-07,830.0
8.724385404483108e-07,840.0
8.749739476684286e-07,906.0
8.769669835474278e-07,976.0
8.775193429784895e-07,954.0
8.79015499972189e-07,884.0
8.792893021793448e-07,830.0
8.829932256658032e-07,846.0
8.893718827950409e-07,922.0
8.90047847879876e-07,846.0
8.905499562593163e-07,774.0
8.911302223224804e-07,780.0
8.983339288101153e-07,766.0
9.003295593906385e-07,830.0
9.023512260954003e-07,898.0
9.030327238759441e-07,894.0
9.036383807393872e-07,842.0
9.060947671521457e-07,794.0
9.097844991217009e-07,864.0
9.113145072225298e-07,866.0
9.126810589345589e-07,842.0
9.154121827329693e-07,842.0
9.193927620077366e-07,916.0
9.194257705498086e-07,922.0
9.23471427444778e-07,942.0
9.263736744846023e-07,1016.0
9.270133685485965e-07,942.0
9.274567841572798e-07,950.0
9.291660415977798e-07,872.0
9.321161614410267e-07,950.0
9.362158508951735e-07,932.0
9.434645765530575e-07,946.0
9.463054709965299e-07,934.0
9.479438490399372e-07,854.0
9.499358956726458e-07,840.0
9.500360210928963e-07,906.0
9.537872080065186e-07,854.0
9.549430216989104e-07,830.0
9.556940529512485e-07,854.0
9.573269241253187e-07,840.0
9.586326496370168e-07,818.0
9.591446204723627e-07,830.0
9.631081732080582e-07,854.0
9.672980522785978e-07,872.0
9.821481030520968e-07,798.0
9.823195066648528e-07,846.0
9.837977359921248e-07,916.0
9.85319803014955e-07,990.0
9.86442661371574e-07,1070.0
9.867614689068466e-07,1076.0
9.86797299687539e-07,1022.0
9.917445774804536e-07,1046.0
9.91784472246161e-07,1074.0
9.919017077876576e-07,994.0
9.934312092910726e-07,920.0
9.953501264310658e-07,994.0
9.966363046859803e-07,1074.0
9.97549023949781e-07,1124.0
9.998238206044655e-07,1154.0
1.0066163484709175e-06,1122.0
1.0077451548850425e-06,1206.0
1.0114595110663095e-06,1262.0
1.0126097572217748e-06,1234.0
1.0163765767579734e-06,1296.0
1.0190378045461256e-06,1274.0
1.0230467939351513e-06,1188.0
1.0247127308486433e-06,1210.0
1.0291295121100801e-06,1234.0
1.0308779192313973e-06,1322.0
1.0365676080229626e-06,1412.0
1.0431724350466947e-06,1350.0
1.044922485187984e-06,1262.0
1.0474401647373396e-06,1262.0
1.050811265304754e-06,1234.0
1.0518000338595615e-06,1236.0
1.0519740997158398e-06,1214.0
1.0575191822380679e-06,1236.0
1.065453319648217e-06,1322.0
1.069026459427127e-06,1236.0
1.0701777541013084e-06,1242.0
1.0719248151476401e-06,1184.0
1.0733426504826536e-06,1130.0
1.0737304555117991e-06,1210.0
1.0776173253757528e-06,1158.0
1.0777034102646975e-06,1130.0
1.0803913901563536e-06,1046.0
1.0899779280825507e-06,1124.0
1.0967106183168939e-06,1074.0
1.0974857645413814e-06,1106.0
1.1017559016001574e-06,1142.0
1.1036852647310615e-06,1182.0
1.1051038248280134e-06,1226.0
1.1058508996750992e-06,1182.0
1.106170049897636e-06,1268.0
1.1081431941395775e-06,1310.0
1.1111389126630906e-06,1226.0
1.1125641535153167e-06,1310.0
1.1133049540845042e-06,1314.0
1.1149856897619898e-06,1358.0
1.1157002339279247e-06,1356.0
1.1166734831496712e-06,1270.0
1.1173239717455627e-06,1270.0
1.1178175843406307e-06,1356.0
1.1204092039284874e-06,1270.0
1.1215011060592713e-06,1310.0
1.1221563812827556e-06,1268.0
1.125913547437195e-06,1226.0
1.1276149934691123e-06,1142.0
1.1286775556875397e-06,1188.0
1.1315349708610667e-06,1190.0
1.1347476710577415e-06,1188.0
1.1363055893467123e-06,1238.0
1.137960111740843e-06,1240.0
1.1398839888251446e-06,1206.0
1.1430473574565421e-06,1122.0
1.144577536004112e-06,1154.0
1.1450647427445196e-06,1238.0
1.1468340495569885e-06,1206.0
1.148256375131232e-06,1206.0
1.1498353856830865e-06,1178.0
1.151009866195085e-06,1124.0
1.1535341077847978e-06,1158.0
1.154794591528569e-06,1240.0
1.1554164761206959e-06,1246.0
1.1563337464568143e-06,1256.0
1.1568455057590286e-06,1286.0
1.1574460178295441e-06,1380.0
1.159111739588528e-06,1286.0
1.159872536587034e-06,1370.0
1.1639221398505913e-06,1320.0
1.1670735695387282e-06,1358.0
1.1704221373937765e-06,1274.0
1.1731329727895385e-06,1366.0
1.1731803538154814e-06,1358.0
1.1745257570171046e-06,1354.0
1.174798901009776e-06,1402.0
1.1785338173491927e-06,1362.0
1.1811571694833885e-06,1274.0
1.1867742205329134e-06,1190.0
1.1875430738813847e-06,1158.0
1.1897666862517698e-06,1080.0
1.1912360198917508e-06,1158.0
1.1914060813524892e-06,1196.0
1.1959350743257278e-06,1230.0
1.1970152431830634e-06,1320.0
1.1989305317819539e-06,1238.0
1.200431228052796e-06,1160.0
1.202535516696466e-06,1206.0
1.2195426216279956e-06,1118.0
1.2245923070386692e-06,1132.0
1.226404611272888e-06,1222.0
1.228076066402741e-06,1192.0
1.2315402640742292e-06,1122.0
1.2324236389744615e-06,1082.0
1.2344407974358362e-06,1112.0
1.2416208271585565e-06,1026.0
1.2421219214732703e-06,1112.0
1.2425495283981767e-06,1146.0
1.2427231834695187e-06,1184.0
1.2435463183734243e-06,1114.0
1.2452235360537936e-06,1134.0
1.2478122593483938e-06,1224.0
1.2488238656031591e-06,1318.0
1.249449281432478e-06,1258.0
1.2498631245492582e-06,1330.0
1.2525730185473788e-06,1390.0
1.2530314353165723e-06,1490.0
1.2599961488636244e-06,1568.0
